,,,,,,,,,,,,,,,Normalised abundance,,,,,,,,,,,,Raw abundance,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,normal,,,,,,model,,,,,,normal,,,,,,model,,,,,,Tags,,,,,,,,,,,,
Compound,Neutral mass (Da),m/z,Charge,Retention time (min),Chromatographic peak width (min),Identifications,Anova (p),q Value,Max Fold Change,Highest Mean,Lowest Mean,Isotope Distribution,Maximum Abundance,Minimum CV%,ZWC-220127-N1,ZWC-220127-N2,ZWC-220127-N3,ZWC-220127-N4,ZWC-220127-N5,ZWC-220127-N6,ZWC-220127-M1,ZWC-220127-M2,ZWC-220127-M3,ZWC-220127-M4,ZWC-220127-M5,ZWC-220127-M6,ZWC-220127-N1,ZWC-220127-N2,ZWC-220127-N3,ZWC-220127-N4,ZWC-220127-N5,ZWC-220127-N6,ZWC-220127-M1,ZWC-220127-M2,ZWC-220127-M3,ZWC-220127-M4,ZWC-220127-M5,ZWC-220127-M6,Anova p-value <= 0.05,Max fold change >= 2,Not identified,Accepted Compound ID,Accepted Description,Adducts,Formula,Score,Fragmentation Score,Mass Error (ppm),Isotope Similarity,Retention Time Error (mins),Compound Link
1.70_302.0689m/z,,302.0689272,1,1.6958,0.348966667,7,8.97E-10,2.43E-07,5202.20371,model,normal,100 - 13.3 - 0.179,2206.826881,46.47,0,1.169826925,1.360724309,0,0.014708818,0,517.4775937,1435.42354,2464.372252,3066.914082,2652.046596,3104.727224,0,1.525212801,1.622656896,0,0.014708818,0,414.6006473,1084.324336,1590.500366,1845.316851,1349.686311,1451.096813,x,x,,HMDB0135663,{[3-(4-methoxyphenyl)oxiran-2-yl]methoxy}sulfonic acid,M+ACN+H,C10H12O6S,38.6,1.75,-1.37440464,93.06392076,,http://nonlinear.com/redirect/outbound?p=hmdb&param=HMDB0135663
0.70_823.7080m/z,,823.7080296,1,0.7004,0.114416667,1,1.01E-09,2.43E-07,11849.4556,model,normal,100 - 0.871,14291.5773,22.37,0,0,7.236574124,0,0,0,13080.81434,12219.79999,12148.39639,14771.41691,13002.65233,20526.38383,0,0,8.629578252,0,0,0,10480.28776,9230.882835,7840.547987,8887.743122,6617.342953,9593.683443,x,x,,HMDB0013461,SM(d18:1/26:1(17Z)),M+H-H2O,C49H97N2O6P,31.1,1.75,3.440351221,57.63452103,,http://nonlinear.com/redirect/outbound?p=hmdb&param=HMDB0013461
0.70_822.4076n,822.4075628,823.4148392,1,0.7004,0.366116667,5,2.45E-08,3.22E-06,195.7658299,model,normal,100 - 52 - 15.3 - 1.92 - 0.376,1133850.969,22.82,1804.39352,8634.295551,6808.270491,7694.02688,8431.535547,1378.720453,928842.1109,942474.8833,983860.9047,1169718.144,1163144.493,1615065.281,2898.250653,11257.33886,8118.828324,8235.045484,8431.535547,1616.568482,744183.99,711949.0685,634981.6378,703802.1095,591950.4588,754854.1025,x,x,,HMDB0015179,Rifampin,"M+H, M+Na",C43H58N4O12,41.6,14.4,2.96629722,96.96786579,,http://nonlinear.com/redirect/outbound?p=hmdb&param=HMDB0015179
0.67_859.4010m/z,,859.4009917,1,0.6718,0.114416667,1,1.82E-07,1.77E-05,2.361316097,model,normal,100 - 83.3,938.4982828,9.29,371.3129021,426.7859359,374.0199485,334.0480723,496.9800875,381.5357755,882.7840283,949.4876718,1018.688927,798.3786345,950.5095605,1031.140874,596.409735,556.4407508,446.0169077,357.5372314,496.9800875,447.3558856,707.2824678,717.2465553,657.4595661,480.3726182,483.7357473,481.9377449,x,x,,HMDB0060584,Abiraterone sulfate,2M+H,C24H31NO4S,32.8,0,-1.215831357,65.68165717,,http://nonlinear.com/redirect/outbound?p=hmdb&param=HMDB0060584
2.31_528.1646m/z,,528.1645933,1,2.313633333,0.14875,17,4.22E-07,3.39E-05,Infinity,model,normal,100,38.0134563,87.64,0,0,0,0,0,0,97.59331542,11.00022236,29.20004197,55.12946799,23.24012348,11.91756657,0,0,0,0,0,0,78.19131154,8.309609308,18.84564209,33.17058565,11.82742286,5.570068359,x,x,,HMDB0130046,"3-[(1E)-but-1-en-1-yl]-5,7-dihydroxy-1H-isochromen-1-one",2M+ACN+Na,C13H12O4,36.3,0,3.675155583,85.99707243,,http://nonlinear.com/redirect/outbound?p=hmdb&param=HMDB0130046
1.71_762.2661m/z,,762.2660931,1,1.712966667,0.394733333,4,2.74E-06,0.000176623,576.1057253,model,normal,100 - 23.7,4084.954598,44.07,0,31.4365379,11.09163858,0,0.01562497,0,1144.5954,2843.539098,4787.140761,5712.35156,4249.39014,5772.710632,0,40.98675537,13.22672323,0,0.01562497,0,917.044524,2148.02012,3089.609991,3437.037461,2162.610457,2698.066979,x,x,,HMDB0006606,3'-Sialyl-3-fucosyllactose,M+H-H2O,C29H49NO23,36.9,0,-0.199531654,84.88480399,,http://nonlinear.com/redirect/outbound?p=hmdb&param=HMDB0006606
1.32_829.3310m/z,,829.3309733,1,1.318233333,0.234566667,1,6.88E-06,0.000355719,38.12588465,model,normal,100 - 35.3,1244.027264,33.86,49.20940908,28.26175,24.33771418,36.20525823,18.71856265,39.04410298,171.7316787,668.014135,1448.938925,1950.976658,1721.710732,1502.791455,79.04107416,36.84748738,29.02260177,38.75109262,18.71856265,45.77974174,137.5906242,504.6203879,935.1419567,1173.873805,876.2174126,702.3792216,x,x,,HMDB0014487,Diltiazem,2M+H,C22H26N2O4S,37,0,1.255838203,86.36704027,,http://nonlinear.com/redirect/outbound?p=hmdb&param=HMDB0014487
1.73_716.2753m/z,,716.2753238,1,1.730133333,0.131583333,5,3.67E-05,0.001659478,322.7950151,model,normal,100 - 21.6,291.8738851,72.55,3.371231074,0,0.822044219,0,1.231973638,0,7.87504525,83.0019271,408.7187125,535.86833,452.8255338,262.953762,5.414934467,0,0.980283598,0,1.231973638,0,6.309449718,62.69996764,263.7861473,322.4240499,230.4531244,122.9001257,x,x,,HMDB0060610,Hydroxyhexamide,2M+ACN+Na,C15H22N2O4S,38.1,0.251,-0.770171119,91.15503856,,http://nonlinear.com/redirect/outbound?p=hmdb&param=HMDB0060610
1.70_474.1621m/z,,474.1620765,1,1.6958,0.268883333,9,5.55E-05,0.00229688,35.32493321,model,normal,100 - 45,1236.687703,48.18,35.74433706,3.292475382,41.60553338,9.910697609,34.69851007,84.80195671,242.4879404,778.9605453,1476.396604,1731.328948,1501.600662,1689.351517,57.41322339,4.292708169,49.61438934,10.60758519,34.69851007,99.43144756,194.2802128,588.4297232,952.8630821,1041.715026,764.1984348,789.5742287,x,x,,HMDB0029776,Dhurrin 6'-glucoside,M+H,C20H27NO12,35.6,0,3.11697118,81.48274787,,http://nonlinear.com/redirect/outbound?p=hmdb&param=HMDB0029776
0.87_1167.5463m/z,,1167.546294,1,0.8663,0.04575,1,6.18E-05,0.002476276,28.14616613,model,normal,100 - 72.2,94.09516287,40.61,0,0.3689578,2.004713676,7.134426053,10.55044169,0,111.7537843,103.234237,122.7344977,132.6124574,37.45766305,56.77833771,0,0.4810448,2.390610977,7.636095372,10.55044169,0,89.53661351,77.98353058,79.21257163,79.79095459,19.06304932,26.53723145,x,x,,HMDB0039388,"6,7-Dihydro-7-hydroxyciguatoxin",M+K,C60H88O20,35.3,0.0174,-3.331363439,80.24705134,,http://nonlinear.com/redirect/outbound?p=hmdb&param=HMDB0039388
